0
0 0
TRACK_NUM        50 ADD_FLD    8  24 &11111111
TRACK_ID  2428 START_TIME 2017080218
POINT_NUM  6
2017080218 216.699219 -39.272663 1.653438e+01 & 2.163048e+02 & -3.969780e+01 & 2.583733e+01 & 2.165496e+02 & -3.916635e+01 & 1.963729e+01 & 2.170760e+02 & -3.854028e+01 & 1.912174e+01 & 2.174056e+02 & -3.859975e+01 & 2.033594e+01 & 2.174114e+02 & -3.892125e+01 & 2.261969e+01 & 2.175932e+02 & -3.936022e+01 & 1.973686e+01 & 2.157014e+02 & -3.965052e+01 & 9.819901e+02 & 2.200781e+02 & -4.035078e+01 & 2.544162e+01 & 
2017080300 218.723541 -40.463818 1.593158e+01 & 2.183148e+02 & -4.077138e+01 & 2.449097e+01 & 2.183850e+02 & -4.034959e+01 & 1.787867e+01 & 2.190695e+02 & -3.985174e+01 & 1.694275e+01 & 2.200030e+02 & -4.004033e+01 & 1.806553e+01 & 2.200599e+02 & -4.048379e+01 & 2.052981e+01 & 2.200039e+02 & -4.109164e+01 & 1.911839e+01 & 2.182555e+02 & -4.062135e+01 & 9.797930e+02 & 2.193750e+02 & -4.315779e+01 & 2.387501e+01 & 
2017080306 220.933731 -41.057301 1.513565e+01 & 2.207962e+02 & -4.148319e+01 & 2.317472e+01 & 2.207711e+02 & -4.088112e+01 & 1.748774e+01 & 2.215210e+02 & -4.035466e+01 & 1.612922e+01 & 2.224054e+02 & -4.051182e+01 & 1.629213e+01 & 2.227315e+02 & -4.125160e+01 & 1.698881e+01 & 2.219598e+02 & -4.276920e+01 & 1.612572e+01 & 2.206937e+02 & -4.154209e+01 & 9.796766e+02 & 2.200781e+02 & -3.894728e+01 & 2.247057e+01 & 
2017080312 223.225708 -41.748291 1.417442e+01 & 2.228781e+02 & -4.205697e+01 & 1.977780e+01 & 2.229655e+02 & -4.161650e+01 & 1.632616e+01 & 2.230762e+02 & -4.163342e+01 & 1.618130e+01 & 2.237112e+02 & -4.219173e+01 & 1.487696e+01 & 2.244517e+02 & -4.333124e+01 & 1.384964e+01 & 2.244362e+02 & -4.377215e+01 & 1.357208e+01 & 2.230612e+02 & -4.217021e+01 & 9.812181e+02 & 2.228906e+02 & -3.894728e+01 & 2.200108e+01 & 
2017080318 225.856888 -42.402451 1.320702e+01 & 2.260313e+02 & -4.266168e+01 & 1.795458e+01 & 2.258313e+02 & -4.249764e+01 & 1.626674e+01 & 2.256739e+02 & -4.234042e+01 & 1.585846e+01 & 2.256712e+02 & -4.240054e+01 & 1.348357e+01 & 2.246716e+02 & -4.051067e+01 & 1.221000e+01 & 2.230948e+02 & -4.170225e+01 & 1.030095e+01 & 2.260916e+02 & -4.277040e+01 & 9.839106e+02 & 2.250000e+02 & -3.964903e+01 & 2.224704e+01 & 
2017080400 228.727722 -43.023083 1.211770e+01 & 2.291179e+02 & -4.324149e+01 & 1.679597e+01 & 2.287499e+02 & -4.315916e+01 & 1.504639e+01 & 2.285758e+02 & -4.331730e+01 & 1.430029e+01 & 2.285418e+02 & -4.286144e+01 & 1.180977e+01 & 2.281621e+02 & -4.184083e+01 & 1.177385e+01 & 2.310820e+02 & -4.066428e+01 & 1.103284e+01 & 2.287451e+02 & -4.360330e+01 & 9.845908e+02 & 2.278125e+02 & -3.964903e+01 & 1.998356e+01 & 
TRACK_ID  3521 START_TIME 2017081906
POINT_NUM  12
2017081906 239.709930 -36.741478 1.332172e+01 & 2.400484e+02 & -3.739453e+01 & 2.116949e+01 & 2.391129e+02 & -3.712940e+01 & 1.673713e+01 & 2.388992e+02 & -3.617002e+01 & 1.420431e+01 & 2.403981e+02 & -3.530510e+01 & 1.058766e+01 & 2.418325e+02 & -3.510793e+01 & 1.128257e+01 & 2.419077e+02 & -3.540344e+01 & 1.477965e+01 & 2.397582e+02 & -3.611235e+01 & 9.833338e+02 & 2.418750e+02 & -4.035078e+01 & 2.108378e+01 & 
2017081912 240.479065 -38.612156 1.443898e+01 & 2.403858e+02 & -3.875843e+01 & 2.315395e+01 & 2.393820e+02 & -3.869631e+01 & 1.756865e+01 & 2.388007e+02 & -3.836444e+01 & 1.410420e+01 & 2.387837e+02 & -3.773198e+01 & 1.052694e+01 & 1.000000e+25 & 1.000000e+25 & 7.848691e+00 & 1.000000e+25 & 1.000000e+25 & 6.616133e+00 & 2.406297e+02 & -3.837171e+01 & 9.751893e+02 & 2.446875e+02 & -4.245604e+01 & 2.321034e+01 & 
